,tps_hyscal,tps_ad
0,3284,3541
1,3152,3342
2,3567,3506
3,3649,3646
4,3656,3633
5,3652,3600
6,3270,3675
7,3619,3691
8,3351,3511
9,3283,3496
10,3615,3650
11,3584,3658
12,3586,3656
13,3551,3625
14,3511,3400
15,1000,1001
16,3297,3611
17,3374,3498
18,3337,3540
19,3463,3704
20,3656,3439
21,3621,3602
22,3579,3514
23,1000,1000
24,1001,1001
25,1001,1001
26,1001,1001
27,1001,1001
28,1000,1001
29,3340,3506
30,3289,3557
31,3450,3484
32,3250,3473
33,1001,1001
34,1000,1000
35,1001,1001
36,3167,3416
37,1001,1001
38,1001,1000
39,3098,3562
40,3661,3485
41,3429,3532
42,3530,3554
43,3624,3585
44,1000,1000
45,3224,3528
46,3568,3528
47,3460,3631
48,3230,3507
49,999,999
50,3219,3586
51,3307,3491
52,3368,3622
53,3315,3429
54,3076,3510
55,3280,3388
56,3562,3636
57,3367,3477
58,3577,3475
59,1001,1001
60,999,999
61,1000,1001
62,1001,1000
63,1000,1001
64,3237,3498
65,3571,3600
66,999,999
67,1001,1001
68,999,999
69,999,999
70,999,999
71,999,999
72,999,999
73,999,999
74,999,999
75,1001,1001
76,1001,1000
77,999,999
78,999,999
79,1001,1001
80,999,999
81,1000,1001
82,1001,1001
83,999,999
84,999,999
85,999,999
86,999,999
87,999,999
88,999,999
89,3245,3594
90,3436,3442
91,3195,3679
92,3286,3614
93,3268,3635
94,1000,1000
95,1001,1001
96,1000,1000
97,3086,3460
98,3387,3350
99,1001,1000
