,requests
0,1.4723678
1,1.4723678
2,1.4723678
3,1.4723678
4,1.4723678
5,1.4723678
6,1.4723678
7,1.4723678
8,1.4723678
9,1.4723678
10,1.4723678
11,1.4723678
12,1.4723678
13,1.4723678
14,1.4723678
15,1.4723678
16,1.4723678
17,1.4723678
18,1.4723678
19,1.4723678
20,1.4723678
21,1.4723678
22,1.4723678
23,1.4723678
24,1.4723678
25,1.4723678
26,1.4723678
27,1.4723678
28,1.4723678
29,1.4723678
30,1.4723678
31,1.4723678
32,1.4723678
33,1.4723678
34,1.4723678
35,1.4723678
36,1.4723678
37,277.16064
38,2307.9485
39,3271.707
40,2026.1014
41,2046.8851
42,4127.451
43,4573.2437
44,4434.7744
45,4460.983
46,4413.2036
47,4349.799
48,4323.124
49,4655.288
50,4335.3174
51,4499.8853
52,3851.2822
53,4083.444
54,3457.9
55,3764.925
56,3257.14
57,3337.1362
58,3546.6006
59,3633.562
60,4029.5024
61,4620.766
62,4084.2559
63,4092.2776
64,4092.962
65,4198.4277
66,4149.123
67,4336.034
68,3572.2375
69,1963.2728
70,3554.8364
71,3670.835
72,324.0726
73,1922.7345
74,1888.6252
75,2276.0586
76,253.4942
77,2248.2253
78,295.64227
79,3236.2173
80,161.03293
81,136.46591
82,1375.9169
83,1162.0682
84,1823.0999
85,3615.7646
86,892.9935
87,1.4723678
88,4.3104067
89,1.4723678
90,1.4723678
91,3551.0884
92,73.105286
93,3194.8186
94,3175.2085
95,2581.979
96,2769.203
97,3838.0034
98,1675.7622
99,164.23903
100,636.30237
101,2281.1113
102,3784.8855
103,4179.6265
104,3970.797
105,4139.373
106,4454.618
107,4456.6245
108,4817.06
109,4642.1245
110,4322.3345
111,3656.8242
112,3949.8674
113,4391.497
114,4487.544
115,4749.1377
116,4456.6094
117,4336.72
118,4167.1797
119,4103.969
120,3876.438
121,4568.396
122,4031.23
123,3957.1538
124,4164.057
125,4574.9785
126,4655.4795
127,4710.6543
128,4022.9712
129,3684.4277
130,3063.0955
131,3116.087
132,3226.9922
133,3984.9514
134,2762.7212
135,3497.4434
136,3111.5835
137,1523.1434
138,3291.521
139,3214.308
140,448.4925
141,58.87974
142,1.4723678
143,1.4723678
144,2062.1992
145,60.32507
146,1.4723678
147,2924.266
148,2712.681
149,794.7961
150,343.1594
151,3827.5156
152,3520.0337
153,3783.7827
154,3487.9949
155,3669.0415
156,2969.0317
157,3956.329
158,3330.0737
159,1829.6366
160,3919.6191
161,3141.9133
162,668.7154
163,3672.4595
164,4300.3
165,4306.9385
166,4106.666
167,3969.3833
168,3209.109
169,3496.1978
170,1.4723678
171,1.4723678
172,1.4723678
173,159.40656
174,1081.2806
175,2620.1943
176,126.30394
177,1.4723678
178,1.4723678
179,1.472745
180,3213.9902
181,4654.7285
182,1848.1405
183,231.84561
184,3526.6404
185,2954.5298
186,401.12296
187,2038.9061
188,1.4723678
189,1.472393
190,3918.4111
191,3072.71
192,1.4723678
193,1.4723678
194,1.4723678
195,1.4723678
196,1.4723678
197,1.4723678
198,1.4723678
199,1.4723678
200,1.4723678
201,1.4723678
202,1.4723678
203,1.4723678
204,1.4723678
205,1.4723678
206,1.4723678
207,1.4723678
208,1.4723678
209,1.4723678
210,1.4723678
211,1.4723678
212,1.4723678
213,1.4723678
214,1.4723678
215,1.4723678
216,1.4723678
217,1.4723678
218,1.4723678
219,1.4723678
220,1.4723678
221,1.4723678
222,1.4723678
223,1.4723678
224,1.4723678
225,1.4723678
226,1.4723678
227,1.4723678
228,1.4723678
229,1.4723678
230,1.4723678
231,1.4723678
232,1.4723678
233,1.4723678
234,1.4723678
235,1.4723678
236,1.4723678
237,1.4723678
238,1.4723678
239,1.4723678
240,1.4723678
241,675.1507
242,1.4723678
243,1.4723678
244,1.4723678
245,1.4723678
246,1.4723678
247,3857.018
248,3607.2124
249,4004.0522
250,3900.849
251,2211.8008
252,159.45215
253,1504.6478
254,1.4723678
255,1.4723678
256,1.4723678
257,1.4723678
258,1.4723678
259,2401.7646
260,1.4723678
261,1.4723678
262,1.4723678
263,2460.9358
264,1.4723678
265,1452.378
266,1.4723678
267,1.4723678
268,1.4723678
269,1.4723678
270,1.4723678
271,3369.9573
272,1.4723678
273,1.4723678
274,1.4723678
275,1.4723678
276,1.4723678
277,1.4723678
278,1.4723678
279,1.4723678
280,1.4723678
281,1.4723678
282,1.4723678
283,211.83855
284,1.4723678
285,1.4723678
286,1.4723678
287,1.4723678
288,133.16853
289,3421.291
290,4023.799
291,1912.432
292,3730.9495
293,3512.3926
294,3479.5557
295,4383.135
296,3237.9805
297,2327.7603
298,106.1629
299,271.1134
300,720.19836
301,4162.735
302,1405.5414
303,1768.5338
304,4081.919
305,4359.047
306,4341.634
307,4482.7637
308,3883.4976
309,2315.183
310,1.472908
311,1.4723678
312,1.4723678
313,1.4723678
314,1.4723678
315,1.4723678
316,1.4723678
317,1.4723678
318,1.4723678
319,640.82996
320,1.4723678
321,1.4723678
322,1.4723678
323,1.4723678
324,1.4723678
325,1.4723678
326,1.4723678
327,1.4723678
328,1.4723678
329,1.4723678
330,1.4723678
331,1.4723678
332,1.4723678
333,1.4723678
334,1.4723678
335,1.4723678
336,1.4723678
337,1.4723678
338,1.4723678
339,1.4723678
340,1.4723678
341,1.4723678
342,1.4723678
343,1.4723716
344,1.4723678
345,1.4723678
346,1.4723678
347,1.4723678
348,1.4723678
349,1.4723678
350,1.4723678
351,1.4723678
352,1.4723678
353,1.4723678
354,1.4723678
355,1.4723678
356,1.4723678
357,1.4723678
358,1.4723678
359,1.4723678
360,1.4723678
361,104.89826
362,1.4723678
363,1.4723678
364,1.4723678
365,51.42799
366,1.4723678
367,1.4723682
368,1.4723678
369,1.4723678
370,1.4723678
371,1.4723678
372,1.4723678
373,1.4723678
374,1.4723678
375,1.4723678
376,97.80747
377,1.4731064
378,1592.2045
379,4221.117
380,3379.9287
381,3630.4407
382,2008.6307
383,1.4723711
384,237.53691
385,3788.7349
386,2188.6577
387,800.0421
388,1.4762149
389,1.4723682
390,2.3790379
391,3290.6328
392,106.56926
393,1.4723678
394,1.4723678
395,2222.651
396,1.4723678
397,1.4723678
398,1.4723678
399,1.4723678
400,1.4723678
401,1.4723678
402,1.4723678
403,1.4723678
404,1.4723678
405,1.4723678
406,1.4723678
407,1.4723678
408,1.4723678
409,1906.4393
410,1.4723678
411,1.4723678
412,1.4723678
413,1.4723678
414,1.4723678
415,1.4723678
416,1.4723678
417,1.4723678
418,1.4723678
419,1.4723678
420,1.4723678
421,1.4723678
422,1.4723678
423,1.4723678
424,1.4723678
425,1.4723678
426,1.4723678
427,1.4723678
428,1.4723678
429,1.4723678
430,1.4723678
431,1.4723678
432,1.4723678
433,1.4723678
434,1.4723678
435,1.4723678
436,1.4723678
437,1.4723678
438,1.4723678
439,1.4723678
440,1.4723678
441,1.4723678
442,1.4723678
443,1.4723678
444,1.4723678
445,1.4723678
446,1.4723678
447,1.4723678
448,1.4723678
449,1.4723678
450,1.4723678
451,1.4723678
452,1.4723678
453,1.4723678
454,1.4723678
455,1.4723678
456,1.4723678
457,1.4723678
458,1.4723678
459,3228.0383
460,4531.471
461,4300.8735
462,4409.5864
463,4764.1997
464,4365.27
465,4024.1035
466,3580.7603
467,3426.0618
468,3880.5063
469,4676.7886
470,4538.4595
471,4367.3433
472,5490.4897
473,6549.5503
474,6589.2676
475,6605.1084
476,6552.7227
477,6322.9077
478,6097.0083
479,5802.767
480,5594.482
481,5976.457
482,5452.732
483,5621.5605
484,5466.8604
485,5172.2295
486,5060.6377
487,5139.644
488,4962.5815
489,4807.382
490,4536.2603
491,4388.735
492,4336.305
493,4324.0415
494,4039.4524
495,3481.1519
496,2866.597
497,586.0163
498,83.988686
499,3621.7144
500,3262.2202
501,4140.308
502,3913.1367
503,3683.023
504,3992.3008
505,4260.5728
506,3859.647
507,3294.7715
508,3520.544
509,4153.161
510,4455.2964
511,5759.86
512,5338.001
513,5008.7803
514,4966.0513
515,4771.344
516,4544.24
517,4715.366
518,4303.967
519,4453.1265
520,4903.6216
521,4727.448
522,4722.7354
523,4844.455
524,4353.7383
525,4015.8413
526,4539.9062
527,4190.468
528,4044.373
529,4789.0073
530,5004.4595
531,5088.42
532,5112.0283
533,4454.1597
534,4257.346
535,4479.867
536,4445.68
537,4853.6543
538,4718.6626
539,4685.791
540,4542.273
541,5294.5034
542,4882.2617
543,4967.368
544,4718.2324
545,4595.785
546,5065.4897
547,5069.538
548,4718.003
549,4719.7246
550,4918.3057
551,5263.319
552,5010.0415
553,4989.4346
554,4830.1885
555,4709.3213
556,5007.752
557,5173.004
558,5506.212
559,5666.241
560,5405.702
561,5615.4346
562,5520.465
563,5196.116
564,5080.0312
565,5130.0796
566,4932.3174
567,4773.913
568,4681.3467
569,4768.745
570,4687.376
571,5163.1123
572,4689.338
573,4601.016
574,4532.1543
575,4355.8447
576,4121.802
577,4428.089
578,4172.1777
579,4131.988
580,3481.9285
581,2392.17
582,2060.8096
583,3486.9792
584,2288.773
585,1149.6823
586,2474.774
587,3480.539
588,3394.2788
589,4217.1177
590,4043.9058
591,4342.301
592,4164.2246
593,4207.022
594,4317.25
595,4275.502
596,4040.264
597,3706.287
598,2310.73
599,3845.4248
600,2554.0684
601,3962.086
602,412.14343
603,1743.4766
604,1.4723706
605,1.4723678
606,1.4723678
607,2170.7695
608,1160.4012
609,1.472373
610,1.4723678
611,61.679317
612,1.4723678
613,1.4723678
614,1.4723678
615,1.4723678
616,1.4723678
617,1.4723678
618,1.4723678
619,1.4723678
620,1.4723678
621,1.4723678
622,1.4723678
623,1.4723678
624,2345.0747
625,4305.911
626,4425.105
627,4266.409
628,4426.2603
629,4189.397
630,3814.5176
631,4212.516
632,3769.8423
633,3719.586
634,3416.8037
635,3190.6646
636,2891.637
637,3337.8442
638,3364.3604
639,240.78978
640,1.4725075
641,1.4723678
642,2278.68
643,3389.7573
644,138.58821
645,104.3565
646,3321.1904
647,4009.5137
648,3478.3682
649,3233.6196
650,129.10472
651,3096.6797
652,1475.1738
653,3567.1826
654,2753.6248
655,2035.111
656,58.11212
657,214.27663
658,3138.2988
659,2367.0576
660,2708.7227
661,4109.67
662,2784.8572
663,3558.983
664,4422.6255
665,4598.4365
666,4309.2197
667,4446.348
668,4167.903
669,4234.7827
670,4404.0767
671,3837.7031
672,3610.1675
673,4006.8984
674,3369.912
675,3081.3518
676,2252.378
677,2859.2666
678,3426.7974
679,3935.0269
680,3615.6587
681,3449.1506
682,3544.8457
683,3443.4712
684,3771.0225
685,4367.328
686,4199.381
687,3140.2769
688,3282.1077
689,3256.0703
690,2999.3135
691,3981.87
692,2708.7227
693,2976.229
694,309.67343
695,214.90887
696,2003.194
697,3108.3389
698,1467.8951
699,174.98701
700,19.544458
701,520.9506
702,1.4723678
703,100.47242
704,1.4723678
705,1.4723678
706,170.06508
707,1.4723678
708,1.4723678
709,3213.9375
710,3275.169
711,3497.484
712,1.4723678
713,1.4723678
714,1.4723678
715,1.4723678
716,1.4723678
717,1.4723678
718,1.4723678
719,1.4723678
720,1.4723678
721,3864.3257
722,557.4125
723,4092.0164
724,4542.7246
725,4987.651
726,5102.183
727,5419.035
728,4752.2925
729,4272.418
730,4061.2466
731,4196.413
732,3958.1423
733,4476.747
734,4340.379
735,4848.0405
736,4430.8887
737,4376.1665
738,4338.9805
739,4611.439
740,4227.6577
741,3887.1724
742,3856.9395
743,3587.2012
744,3427.8335
745,4159.205
746,3902.2095
747,3262.9294
748,3378.9773
749,3393.8323
750,3820.6814
751,4709.092
752,4387.383
753,4382.965
754,4350.3516
755,4746.3555
756,4700.8794
757,5310.55
758,4977.76
759,4664.515
760,4265.6333
761,4415.878
762,3918.8801
763,4047.1943
764,3295.0166
765,2165.9458
766,1395.8419
767,550.02563
768,302.66473
769,3015.915
770,1.4723678
771,1.4723678
772,1605.2738
773,1.4723678
774,1.4723678
775,144.77473
776,1.4723678
777,1.4723678
778,1.4723678
779,1.4723678
780,1.4723678
781,4256.5977
782,3148.2131
783,3054.4868
784,3242.7378
785,3896.4753
786,4095.2104
787,4447.386
788,3570.3823
