,requests
0,300
1,415350
2,340050
3,505050
4,410550
5,347550
6,129600
7,300
8,131400
9,170850
10,160950
11,300
12,110700
13,37950
14,300
15,520650
16,618000
17,702750
18,753900
19,562950
20,180300
21,353850
22,551100
23,153900
24,591600
25,376050
26,619950
27,676350
28,341850
29,162150
30,556950
31,238800
32,70800
33,109950
34,263850
35,12450
36,529950
37,140850
38,75600
39,105000
40,277800
41,670050
42,296850
43,74700
44,537150
45,549450
46,594000
47,652500
48,481350
49,682350
50,667950
51,592200
52,501900
53,60450
54,281400
55,24300
56,34200
57,690450
58,650100
59,502200
60,546450
61,560100
62,595950
63,184950
64,34950
65,828300
66,826800
67,988200
68,954000
69,992700
70,862950
71,756750
72,921750
73,904650
74,1083150
75,1199400
76,1149750
77,1061550
78,1031400
79,1048500
80,1027800
81,982200
82,1010550
83,839250
84,910950
85,920400
86,898950
87,844800
88,721350
89,909000
90,799800
91,826350
92,741450
93,720000
94,720450
95,750600
96,983850
97,930450
98,837000
99,912000
100,857850
101,912000
102,816600
103,761850
104,794250
105,798600
106,775500
107,755550
108,835350
109,767700
110,824700
111,713400
112,768600
113,776400
114,693000
115,675000
116,757350
117,836700
118,757800
119,723000
120,808200
121,771300
122,826800
123,793200
124,743550
125,707550
126,681300
127,466050
128,578400
129,697200
130,649950
131,308850
132,553050
133,751050
134,775950
135,770100
136,798300
137,787650
138,785700
139,635400
140,517200
141,636150
142,758550
143,733800
144,791400
145,674850
146,756300
147,693900
148,661200
149,466800
150,309450
151,202350
152,757350
153,667050
154,735600
155,451500
156,606450
157,649050
158,714150
159,758700
160,681450
161,634050
162,683850
163,577050
164,891150
165,618750
166,675000
167,599400
168,693900
169,645900
170,673050
171,637950
172,645750
173,360300
174,672150
175,738150
176,611250
177,647100
178,382650
179,298050
180,624900
181,672750
182,543000
183,442350
184,709200
185,692250
186,579150
187,646200
188,643950
189,723300
190,827700
191,671250
192,607200
193,691050
194,685200
195,737250
196,651150
197,716250
198,775350
199,784050
200,648000
201,543150
202,614100
203,433950
204,718650
205,715500
206,737850
207,745200
208,690600
209,568200
210,519000
211,688500
212,768000
213,773850
214,630750
215,266700
216,650100
217,799350
218,743700
219,649950
220,410850
221,532800
222,529950
223,351450
224,206400
225,223650
226,258750
227,253350
228,260550
229,614850
230,419550
231,568200
232,546750
233,173850
234,289350
235,147900
236,420150
237,177150
238,234600
239,531450
240,567000
241,473850
242,406950
243,592500
244,382500
245,487350
246,501900
247,581100
248,506100
249,69300
250,628950
251,637650
252,692850
253,643350
254,498300
255,600750
256,597600
257,467100
258,510900
259,198750
260,52650
261,170400
262,268050
263,203250
264,690150
265,754500
266,56550
267,206700
268,66600
269,450
270,5850
271,19350
272,300
273,1050
274,1800
275,188250
276,297000
277,55650
278,17400
279,245400
280,58950
281,166950
282,156600
283,96750
284,11700
285,131400
286,12600
287,300
288,2700
289,618000
290,694350
291,737850
292,669900
293,586050
294,304500
295,176850
296,358800
297,425550
298,522150
299,279150
300,706350
301,329850
302,190650
303,717150
304,501300
305,292500
306,499650
307,713700
308,660900
309,516750
310,513600
311,526800
312,618900
313,472500
314,762000
315,699750
316,670500
317,626700
318,741750
319,640200
320,702150
321,733650
322,562500
323,455400
324,671550
325,784950
326,789900
327,709500
328,632550
329,837300
330,744900
331,410850
332,687450
333,693600
334,684300
335,598650
336,739350
337,751350
338,745350
339,719550
340,565500
341,628500
342,706500
343,629250
344,689850
345,927150
346,687750
347,726600
348,842700
349,888150
350,912150
351,896400
352,745950
353,732900
354,785700
355,926850
356,955650
357,1020150
358,1007700
359,981450
360,1158450
361,1175850
362,1099050
363,1097100
364,1031700
365,1049250
366,1038450
367,1058250
368,889950
369,1015650
370,1074300
371,1029300
372,1044300
373,1016250
374,985350
375,967500
376,843750
377,735000
378,847800
379,937200
380,947100
381,884100
382,1002750
383,975000
384,1037850
385,920400
386,865200
387,840600
388,880650
389,932550
390,886650
391,812100
392,816450
393,823800
394,843750
395,864450
396,1015950
397,993000
398,992100
399,948900
400,851550
401,834300
402,894150
403,859500
404,860400
405,824250
406,804150
407,769500
408,922350
409,951900
410,853650
411,808050
412,847650
413,752100
414,789300
415,775950
416,685050
417,767250
418,519150
419,623400
420,836100
421,858300
422,981300
423,1026450
424,981900
425,882750
426,819750
427,821100
428,827100
429,891450
430,817050
431,1013100
432,866250
433,828450
434,795600
435,813150
436,778950
437,748350
438,769200
439,781350
440,732150
441,739050
442,595500
443,666150
444,648750
445,725700
446,668850
447,700800
448,700200
449,606900
450,466200
451,712950
452,670650
453,600150
454,507450
455,640500
456,764250
457,684600
458,748350
459,756300
460,692850
461,619800
462,719250
463,616350
464,552000
465,648150
466,670500
467,619500
468,738600
469,762000
470,756000
471,727050
472,455400
473,615150
474,769050
475,856500
476,674550
477,672150
478,813000
479,812550
480,883500
481,803850
482,719850
483,674100
484,555900
485,465750
486,372300
487,100500
488,78150
489,451350
490,465600
491,146250
492,282300
493,388350
494,196650
495,247050
496,446100
497,648300
498,502650
499,511650
500,204300
501,216000
502,675300
503,244800
504,419250
505,594300
506,401550
507,354900
508,58650
509,31350
510,295650
511,228900
512,300
513,319050
514,649500
515,777150
516,746100
517,807000
518,710400
519,774450
520,690600
521,604200
522,633150
523,458700
524,189150
525,408450
526,670350
527,468750
528,646050
529,883950
530,755550
531,751500
532,698700
533,781950
534,661650
535,643650
536,430650
537,721650
538,714300
539,853800
540,722100
541,477600
542,656550
543,780600
544,718650
545,674850
546,664500
547,535950
548,571500
549,716700
550,761850
551,711000
552,685200
553,282900
554,315900
555,421500
556,532350
557,620100
558,286350
559,509550
560,570450
561,671100
562,603150
563,755850
564,801000
565,813150
566,774600
567,749850
568,774450
569,838050
570,753300
571,730350
572,588900
573,712650
574,915000
575,808800
576,795900
577,658350
578,688050
579,721500
580,802650
581,818250
582,855000
583,911100
584,922200
585,995250
586,1042200
587,1056300
588,986700
589,999900
590,1097400
591,1197600
592,1163400
593,1079250
594,1122750
595,1016250
596,1023000
597,1035150
598,1008300
599,992700
600,1013250
601,958950
602,991050
603,1000200
604,1022100
605,971400
606,909000
607,954000
608,909150
609,993150
610,982500
611,948750
612,956700
613,1031250
614,983400
615,977100
616,991350
617,937050
618,913050
619,866700
620,879900
621,989100
622,1050150
623,983700
624,966150
625,983400
626,998550
627,1011450
628,897600
629,943800
630,875400
631,877050
632,992250
633,1051950
634,1051200
635,995100
636,1004850
637,986100
638,1022700
639,1000200
640,1026600
641,985650
642,904500
643,927150
644,934800
645,956550
646,1075350
647,1029000
648,992400
649,943200
650,822600
651,912900
652,940200
653,874200
654,850800
655,933900
656,878850
657,972150
658,1021650
659,891750
660,923700
661,941100
662,972150
663,896100
664,814350
665,836100
666,903000
667,906300
668,667050
669,710250
670,725850
671,741450
672,904650
673,737850
674,735900
675,840450
676,912300
677,877500
678,862800
679,777150
680,786450
681,832350
682,820500
683,812550
684,853200
685,766650
686,818100
687,833100
688,788550
689,761700
690,703950
691,696900
692,753450
693,799950
694,898800
695,912300
696,931500
697,929400
698,689100
699,564750
700,657750
701,700950
702,779400
703,767550
704,658950
705,507000
706,730950
707,705600
708,706800
709,627000
710,635250
711,491100
712,509700
713,707250
714,690300
715,676350
716,661800
717,757350
718,753150
719,796050
720,816600
721,777600
722,630300
723,549900
724,409950
725,468150
726,522750
727,670050
728,680400
729,655800
730,733050
731,707550
732,660150
733,621150
734,240150
735,336150
736,319200
737,377700
738,60750
739,247650
740,359550
741,349950
742,761100
743,622650
744,694950
745,523800
746,285750
747,246450
748,603750
749,392100
750,481800
751,672450
752,682650
753,729150
754,734100
755,740100
756,789300
757,729900
758,624600
759,634050
760,281550
761,634050
762,652950
763,611550
764,587850
765,548400
766,776250
767,492900
768,667200
769,704850
770,320100
771,476700
772,653550
773,489450
774,374850
775,298500
776,258000
777,597450
778,672900
779,270000
780,160350
781,332850
782,284250
783,214800
784,165300
785,219450
786,296700
787,30000
788,18750
789,303150
790,658500
791,496500
792,334050
793,498300
794,106050
795,207750
796,59100
797,20700
798,1650
799,104400
800,45000
801,192900
802,300000
803,703950
804,594600
805,733200
806,792600
807,818400
808,595350
809,387300
810,646650
811,135450
812,1650
813,560850
814,715800
815,309300
816,198600
817,438750
818,601050
819,681750
820,776700
821,712650
822,679200
823,645450
824,539850
825,657000
826,722250
827,778950
828,688050
829,669600
830,630600
831,707100
832,645300
833,479550
834,432000
835,44100
836,89100
837,343650
838,620700
839,742200
840,745500
841,734100
842,725400
843,705600
844,764400
845,803550
846,802950
847,832350
848,783300
849,804900
850,861450
851,903150
852,755250
853,789750
854,733950
855,743700
856,696450
857,731850
858,651000
859,702750
860,723150
861,633300
862,799200
863,759900
864,787050
865,606000
866,591750
867,737400
868,656250
869,665100
870,710700
871,880500
872,854250
873,997650
874,1038300
875,939450
876,802200
877,882600
878,886950
879,1156500
880,1192500
881,1075950
882,1027050
883,1074600
884,1062300
885,1012500
886,1014450
887,1010850
888,1049250
889,1021650
890,1019250
891,1018950
892,1021200
893,910950
894,919350
895,934800
896,881850
897,921000
898,981000
899,940950
900,974550
901,951300
902,910350
903,771300
904,821550
905,957750
906,996300
907,952050
908,921300
909,960000
910,1070100
911,1032900
912,991650
913,969150
914,974700
915,920100
916,880350
917,879450
918,885000
919,808050
920,837750
921,864450
922,909150
923,882750
924,838950
925,766200
926,844500
927,739050
928,749250
