,requests
0,450
1,623025
2,510075
3,757575
4,615825
5,521325
6,194400
7,450
8,197100
9,256275
10,241425
11,450
12,166050
13,56925
14,450
15,780975
16,927000
17,1054125
18,1130850
19,844425
20,270450
21,530775
22,826650
23,230850
24,887400
25,564075
26,929925
27,1014525
28,512775
29,243225
30,835425
31,358200
32,106200
33,164925
34,395775
35,18675
36,794925
37,211275
38,113400
39,157500
40,416700
41,1005075
42,445275
43,112050
44,805725
45,824175
46,891000
47,978750
48,722025
49,1023525
50,1001925
51,888300
52,752850
53,90675
54,422100
55,36450
56,51300
57,1035675
58,975150
59,753300
60,819675
61,840150
62,893925
63,277425
64,52425
65,1242450
66,1240200
67,1482300
68,1431000
69,1489050
70,1294425
71,1135125
72,1382625
73,1356975
74,1624725
75,1799100
76,1724625
77,1592325
78,1547100
79,1572750
80,1541700
81,1473300
82,1515825
83,1258875
84,1366425
85,1380600
86,1348425
87,1267200
88,1082025
89,1363500
90,1199700
91,1239525
92,1112175
93,1080000
94,1080675
95,1125900
96,1475775
97,1395675
98,1255500
99,1368000
100,1286775
101,1368000
102,1224900
103,1142775
104,1191375
105,1197900
106,1163250
107,1133325
108,1253025
109,1151550
110,1237050
111,1070100
112,1152900
113,1164600
114,1039500
115,1012500
116,1136025
117,1255050
118,1136700
119,1084500
120,1212300
121,1156950
122,1240200
123,1189800
124,1115325
125,1061325
126,1021950
127,699075
128,867600
129,1045800
130,974925
131,463275
132,829575
133,1126575
134,1163925
135,1155150
136,1197450
137,1181475
138,1178550
139,953100
140,775800
141,954225
142,1137825
143,1100700
144,1187100
145,1012275
146,1134450
147,1040850
148,991800
149,700200
150,464175
151,303525
152,1136025
153,1000575
154,1103400
155,677250
156,909675
157,973575
158,1071225
159,1138050
160,1022175
161,951075
162,1025775
163,865575
164,1336725
165,928125
166,1012500
167,899100
168,1040850
169,968850
170,1009575
171,956925
172,968625
173,540450
174,1008225
175,1107225
176,916875
177,970650
178,573975
179,447075
180,937350
181,1009125
182,814500
183,663525
184,1063800
185,1038375
186,868725
187,969300
188,965925
189,1084950
190,1241550
191,1006875
192,910800
193,1036575
194,1027800
195,1105875
196,976725
197,1074375
198,1163025
199,1176075
200,972000
201,814725
202,921150
203,650925
204,1077975
205,1073250
206,1106775
207,1117800
208,1035900
209,852300
210,778500
211,1032750
212,1152000
213,1160775
214,946125
215,400050
216,975150
217,1199025
218,1115550
219,974925
220,616275
221,799200
222,794925
223,527175
224,309600
225,335475
226,388125
227,380025
228,390825
229,922275
230,629325
231,852300
232,820125
233,260775
234,434025
235,221850
236,630225
237,265725
238,351900
239,797175
240,850500
241,710775
242,610425
243,888750
244,573750
245,731025
246,752850
247,871650
248,759150
249,103950
250,943425
251,956475
252,1039275
253,965025
254,747450
255,901125
256,896400
257,700650
258,766350
259,298125
260,78975
261,255600
262,402075
263,304875
264,1035225
265,1131750
266,84825
267,310050
268,99900
269,675
270,8775
271,29025
272,450
273,1575
274,2700
275,282375
276,445500
277,83475
278,26100
279,368100
280,88425
281,250425
282,234900
283,145125
284,17550
285,197100
286,18900
287,450
288,4050
289,927000
290,1041525
291,1106775
292,1004850
293,879075
294,456750
295,265275
296,538200
297,638325
298,783225
299,418725
300,1059525
301,494775
302,285975
303,1075725
304,751950
305,438750
306,749475
307,1070550
308,991350
309,775125
310,770400
311,790200
312,928350
313,708750
314,1143000
315,1049625
316,1005750
317,940050
318,1112625
319,960300
320,1053225
321,1100475
322,843750
323,683100
324,1007325
325,1177425
326,1184850
327,1064250
328,948825
329,1255950
330,1117350
331,616275
332,1031175
333,1040400
334,1026450
335,897975
336,1109025
337,1127025
338,1118025
339,1079325
340,848250
341,942750
342,1059750
343,943875
344,1034775
345,1390725
346,1031625
347,1089900
348,1264050
349,1332225
350,1368225
351,1344600
352,1118925
353,1099350
354,1178550
355,1390275
356,1433475
357,1530225
358,1511550
359,1472175
360,1737675
361,1763775
362,1648575
363,1645650
364,1547550
365,1573875
366,1557675
367,1587375
368,1334925
369,1523475
370,1611450
371,1543950
372,1566450
373,1524375
374,1478025
375,1451250
376,1265625
377,1102500
378,1271700
379,1405800
380,1420650
381,1326150
382,1504125
383,1462500
384,1556775
385,1380600
386,1297800
387,1260900
388,1320975
389,1398825
390,1329975
391,1218150
392,1224675
393,1235700
394,1265625
395,1296675
396,1523925
397,1489500
398,1488150
399,1423350
400,1277325
401,1251450
402,1341225
403,1289250
404,1290600
405,1236375
406,1206225
407,1154250
408,1383525
409,1427850
410,1280475
411,1212075
412,1271475
413,1128150
414,1183950
415,1163925
416,1027575
417,1150875
418,778725
419,935100
420,1254150
421,1287450
422,1471950
423,1539675
424,1472850
425,1324125
426,1229625
427,1231650
428,1240650
429,1337175
430,1225575
431,1519650
432,1299375
433,1242675
434,1193400
435,1219725
436,1168425
437,1122525
438,1153800
439,1172025
440,1098225
441,1108575
442,893250
443,999225
444,973125
445,1088550
446,1003275
447,1051200
448,1050300
449,910350
450,699300
451,1069425
452,1005975
453,900225
454,761175
455,960750
456,1146375
457,1026900
458,1122525
459,1134450
460,1039275
461,929700
462,1078875
463,924525
464,828000
465,972225
466,1005750
467,929250
468,1107900
469,1143000
470,1134000
471,1090575
472,683100
473,922725
474,1153575
475,1284750
476,1011825
477,1008225
478,1219500
479,1218825
480,1325250
481,1205775
482,1079775
483,1011150
484,833850
485,698625
486,558450
487,150750
488,117225
489,677025
490,698400
491,219375
492,423450
493,582525
494,294975
495,370575
496,669150
497,972450
498,753975
499,767475
500,306450
501,324000
502,1012950
503,367200
504,628875
505,891450
506,602325
507,532350
508,87975
509,47025
510,443475
511,343350
512,450
513,478575
514,974250
515,1165725
516,1119150
517,1210500
518,1065600
519,1161675
520,1035900
521,906300
522,949725
523,688050
524,283725
525,612675
526,1005525
527,703125
528,969075
529,1325925
530,1133325
531,1127250
532,1048050
533,1172925
534,992475
535,965475
536,645975
537,1082475
538,1071450
539,1280700
540,1083150
541,716400
542,984825
543,1170900
544,1077975
545,1012275
546,996750
547,803925
548,857250
549,1075050
550,1142775
551,1066500
552,1027800
553,424350
554,473850
555,632250
556,798525
557,930150
558,429525
559,764325
560,855675
561,1006650
562,904725
563,1133775
564,1201500
565,1219725
566,1161900
567,1124775
568,1161675
569,1257075
570,1129950
571,1095525
572,883350
573,1068975
574,1372500
575,1213200
576,1193850
577,987525
578,1032075
579,1082250
580,1203975
581,1227375
582,1282500
583,1366650
584,1383300
585,1492875
586,1563300
587,1584450
588,1480050
589,1499850
590,1646100
591,1796400
592,1745100
593,1618875
594,1684125
595,1524375
596,1534500
597,1552725
598,1512450
599,1489050
600,1519875
601,1438425
602,1486575
603,1500300
604,1533150
605,1457100
606,1363500
607,1431000
608,1363725
609,1489725
610,1473750
611,1423125
612,1435050
613,1546875
614,1475100
615,1465650
616,1487025
617,1405575
618,1369575
619,1300050
620,1319850
621,1483650
622,1575225
623,1475550
624,1449225
625,1475100
626,1497825
627,1517175
628,1346400
629,1415700
630,1313100
631,1315575
632,1488375
633,1577925
634,1576800
635,1492650
636,1507275
637,1479150
638,1534050
639,1500300
640,1539900
641,1478475
642,1356750
643,1390725
644,1402200
645,1434825
646,1613025
647,1543500
648,1488600
649,1414800
650,1233900
651,1369350
652,1410300
653,1311300
654,1276200
655,1400850
656,1318275
657,1458225
658,1532475
659,1337625
660,1385550
661,1411650
662,1458225
663,1344150
664,1221525
665,1254150
666,1354500
667,1359450
668,1000575
669,1065375
670,1088775
671,1112175
672,1356975
673,1106775
674,1103850
675,1260675
676,1368450
677,1316250
678,1294200
679,1165725
680,1179675
681,1248525
682,1230750
683,1218825
684,1279800
685,1149975
686,1227150
687,1249650
688,1182825
689,1142550
690,1055925
691,1045350
692,1130175
693,1199925
694,1348200
695,1368450
696,1397250
697,1394100
698,1033650
699,847125
700,986625
