time,cpu%,mem%
20210108-094550,0.0,0.6085633821908367
20210108-094553,0.0,0.6085633821908367
20210108-094556,0.0,0.6085633821908367
20210108-094559,0.0,0.6085633821908367
20210108-094602,0.0,0.6085633821908367
20210108-094605,0.0,0.6085633821908367
20210108-094608,0.0,0.6085633821908367
20210108-094611,0.0,0.6085633821908367
20210108-094614,0.0,0.6085633821908367
20210108-094617,0.0,0.6085633821908367
20210108-094620,0.0,0.6085633821908367
20210108-094623,0.0,0.6085633821908367
20210108-094626,0.0,0.6085633821908367
20210108-094629,0.0,0.6085633821908367
20210108-094632,0.0,0.6085633821908367
20210108-094635,0.0,0.6085633821908367
20210108-094638,0.0,0.6085633821908367
20210108-094641,0.0,0.6085633821908367
20210108-094644,0.0,0.6085633821908367
20210108-094647,0.0,0.6085633821908367
20210108-094650,0.3,0.6085633821908367
20210108-094653,0.0,0.6085633821908367
20210108-094656,0.0,0.6085633821908367
20210108-094659,0.0,0.6085633821908367
20210108-094702,0.0,0.6085633821908367
20210108-094705,0.0,0.6085633821908367
20210108-094708,0.0,0.6085633821908367
20210108-094711,0.0,0.6085633821908367
20210108-094714,0.0,0.6085633821908367
20210108-094717,0.0,0.6085633821908367
20210108-094720,0.0,0.6085633821908367
20210108-094723,0.0,0.6085633821908367
20210108-094726,0.0,0.6085633821908367
20210108-094729,0.0,0.6085633821908367
20210108-094732,0.0,0.6085633821908367
20210108-094735,0.0,0.6085633821908367
20210108-094738,0.0,0.6085633821908367
20210108-094741,0.0,0.6085633821908367
20210108-094744,0.0,0.6085633821908367
20210108-094747,0.0,0.6085633821908367
20210108-094750,0.0,0.6085633821908367
20210108-094753,0.3,0.6085633821908367
20210108-094756,0.0,0.6085633821908367
20210108-094759,0.0,0.6085633821908367
20210108-094802,0.0,0.6085633821908367
20210108-094805,0.0,0.6085633821908367
20210108-094808,0.0,0.6085633821908367
20210108-094811,0.0,0.6085633821908367
20210108-094814,0.0,0.6085633821908367
20210108-094817,0.0,0.6085633821908367
20210108-094820,0.0,0.6085633821908367
20210108-094823,0.0,0.6085633821908367
20210108-094826,0.0,0.6085633821908367
20210108-094829,0.0,0.6085633821908367
20210108-094832,0.0,0.6085633821908367
20210108-094835,0.0,0.6085633821908367
20210108-094838,0.0,0.6085633821908367
20210108-094841,0.0,0.6085633821908367
20210108-094844,0.0,0.6085633821908367
20210108-094847,0.0,0.6085633821908367
20210108-094850,0.0,0.6085633821908367
20210108-094853,0.0,0.6085633821908367
20210108-094856,0.0,0.6085633821908367
20210108-094859,0.0,0.6085633821908367
20210108-094902,0.0,0.6085633821908367
20210108-094905,0.3,0.6085633821908367
20210108-094908,0.0,0.6085633821908367
20210108-094911,0.0,0.6085633821908367
20210108-094914,0.0,0.6085633821908367
20210108-094917,0.0,0.6085633821908367
20210108-094920,0.0,0.6085633821908367
20210108-094923,0.0,0.6085633821908367
20210108-094926,0.0,0.6085633821908367
20210108-094929,0.0,0.6085633821908367
20210108-094932,0.0,0.6085633821908367
20210108-094935,48.3,0.6927777006169138
20210108-094938,1.7,0.6928627226446029
20210108-094941,0.0,0.6928627226446029
