,state01,state02,state03,state04,state05,state_p
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,3
12,0,0,0,0,3,3
13,0,0,0,3,3,3
14,0,0,3,3,3,0
15,0,3,3,3,0,0
16,3,3,3,0,0,0
17,3,3,0,0,0,0
18,3,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,3
22,0,0,0,0,3,3
23,0,0,0,3,3,0
24,0,0,3,3,0,0
25,0,3,3,0,0,0
26,3,3,0,0,0,0
27,3,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,3
37,0,0,0,0,3,0
38,0,0,0,3,0,0
39,0,0,3,0,0,0
40,0,3,0,0,0,0
41,3,0,0,0,0,0
42,0,0,0,0,0,3
43,0,0,0,0,3,0
44,0,0,0,3,0,3
45,0,0,3,0,3,4
46,0,3,0,3,4,0
47,3,0,3,4,0,0
48,0,3,4,0,0,0
49,3,4,0,0,0,0
50,4,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,4
53,0,0,0,0,4,3
54,0,0,0,4,3,0
55,0,0,4,3,0,0
56,0,4,3,0,0,0
57,4,3,0,0,0,0
58,3,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,4
61,0,0,0,0,4,3
62,0,0,0,4,3,4
63,0,0,4,3,4,3
64,0,4,3,4,3,4
65,4,3,4,3,4,4
66,3,4,3,4,4,4
67,4,3,4,4,4,3
68,3,4,4,4,3,4
69,4,4,4,3,4,4
70,4,4,3,4,4,4
71,4,3,4,4,4,4
72,3,4,4,4,4,4
73,4,4,4,4,4,4
74,4,4,4,4,4,4
75,4,4,4,4,4,4
76,4,4,4,4,4,4
77,4,4,4,4,4,4
78,4,4,4,4,4,4
79,4,4,4,4,4,3
80,4,4,4,4,3,3
81,4,4,4,3,3,3
82,4,4,3,3,3,4
83,4,3,3,3,4,4
84,3,3,3,4,4,4
85,3,3,4,4,4,3
86,3,4,4,4,3,3
87,4,4,4,3,3,4
88,4,4,3,3,4,3
89,4,3,3,4,3,4
90,3,3,4,3,4,3
91,3,4,3,4,3,3
92,4,3,4,3,3,3
93,3,4,3,3,3,4
94,4,3,3,3,4,4
95,3,3,3,4,4,3
96,3,3,4,4,3,4
97,3,4,4,3,4,4
98,4,4,3,4,4,3
99,4,3,4,4,3,3
100,3,4,4,3,3,4
101,4,4,3,3,4,3
102,4,3,3,4,3,4
103,3,3,4,3,4,4
104,3,4,3,4,4,3
105,4,3,4,4,3,4
106,3,4,4,3,4,4
107,4,4,3,4,4,4
108,4,3,4,4,4,4
109,3,4,4,4,4,4
110,4,4,4,4,4,4
111,4,4,4,4,4,4
112,4,4,4,4,4,3
113,4,4,4,4,3,4
114,4,4,4,3,4,3
115,4,4,3,4,3,4
116,4,3,4,3,4,4
117,3,4,3,4,4,4
118,4,3,4,4,4,4
119,3,4,4,4,4,3
120,4,4,4,4,3,4
121,4,4,4,3,4,4
122,4,4,3,4,4,0
123,4,3,4,4,0,0
124,3,4,4,0,0,3
125,4,4,0,0,3,4
126,4,0,0,3,4,0
127,0,0,3,4,0,0
128,0,3,4,0,0,3
129,3,4,0,0,3,3
130,4,0,0,3,3,3
131,0,0,3,3,3,4
132,0,3,3,3,4,3
133,3,3,3,4,3,4
134,3,3,4,3,4,4
135,3,4,3,4,4,0
136,4,3,4,4,0,3
137,3,4,4,0,3,4
138,4,4,0,3,4,4
139,4,0,3,4,4,4
140,0,3,4,4,4,4
141,3,4,4,4,4,4
142,4,4,4,4,4,3
143,4,4,4,4,3,4
144,4,4,4,3,4,0
145,4,4,3,4,0,0
146,4,3,4,0,0,0
147,3,4,0,0,0,3
148,4,0,0,0,3,3
149,0,0,0,3,3,3
150,0,0,3,3,3,0
151,0,3,3,3,0,3
152,3,3,3,0,3,3
153,3,3,0,3,3,4
154,3,0,3,3,4,3
155,0,3,3,4,3,4
156,3,3,4,3,4,3
157,3,4,3,4,3,4
158,4,3,4,3,4,0
159,3,4,3,4,0,3
160,4,3,4,0,3,3
161,3,4,0,3,3,4
162,4,0,3,3,4,0
163,0,3,3,4,0,3
164,3,3,4,0,3,3
165,3,4,0,3,3,4
166,4,0,3,3,4,4
167,0,3,3,4,4,3
168,3,3,4,4,3,0
169,3,4,4,3,0,3
170,4,4,3,0,3,4
171,4,3,0,3,4,3
172,3,0,3,4,3,4
173,0,3,4,3,4,0
174,3,4,3,4,0,0
175,4,3,4,0,0,3
176,3,4,0,0,3,3
177,4,0,0,3,3,0
178,0,0,3,3,0,0
179,0,3,3,0,0,3
180,3,3,0,0,3,3
181,3,0,0,3,3,0
182,0,0,3,3,0,3
183,0,3,3,0,3,4
184,3,3,0,3,4,3
185,3,0,3,4,3,3
186,0,3,4,3,3,4
187,3,4,3,3,4,4
188,4,3,3,4,4,4
189,3,3,4,4,4,3
190,3,4,4,4,3,4
191,4,4,4,3,4,3
192,4,4,3,4,3,3
193,4,3,4,3,3,4
194,3,4,3,3,4,4
195,4,3,3,4,4,3
196,3,3,4,4,3,0
197,3,4,4,3,0,3
198,4,4,3,0,3,0
199,4,3,0,3,0,3
200,3,0,3,0,3,4
201,0,3,0,3,4,4
202,3,0,3,4,4,4
203,0,3,4,4,4,3
204,3,4,4,4,3,0
205,4,4,4,3,0,0
206,4,4,3,0,0,3
