,tps
0,3541
1,3342
2,3506
3,3646
4,3633
5,3600
6,3675
7,3691
8,3511
9,3496
10,3650
11,3658
12,3656
13,3625
14,3400
15,1001
16,3611
17,3498
18,3540
19,3704
20,3439
21,3602
22,3514
23,1000
24,1001
25,1001
26,1001
27,1001
28,1001
29,3506
30,3557
31,3484
32,3473
33,1001
34,1000
35,1001
36,3416
37,1001
38,1000
39,3562
40,3485
41,3532
42,3554
43,3585
44,1000
45,3528
46,3528
47,3631
48,3507
49,335
50,3586
51,3491
52,3622
53,3429
54,3510
55,3388
56,3636
57,3477
58,3475
59,1001
60,251
61,1001
62,1000
63,1001
64,3498
65,3600
66,251
67,1001
68,335
69,2
70,29
71,100
72,2
73,5
74,9
75,1001
76,1000
77,251
78,91
79,1001
80,335
81,1001
82,1001
83,502
84,59
85,502
86,63
87,2
88,14
89,3594
90,3442
91,3679
92,3614
93,3635
94,1000
95,1001
96,1000
97,3460
98,3350
99,1000
