,tps
0,3284
1,3152
2,3567
3,3649
4,3656
5,3652
6,3270
7,3619
8,3351
9,3283
10,3615
11,3584
12,3586
13,3551
14,3511
15,1000
16,3297
17,3374
18,3337
19,3463
20,3656
21,3621
22,3579
23,1000
24,1001
25,1001
26,1001
27,1001
28,1000
29,3340
30,3289
31,3450
32,3250
33,1001
34,1000
35,1001
36,3167
37,1001
38,1001
39,3098
40,3661
41,3429
42,3530
43,3624
44,1000
45,3224
46,3568
47,3460
48,3230
49,335
50,3219
51,3307
52,3368
53,3315
54,3076
55,3280
56,3562
57,3367
58,3577
59,1001
60,251
61,1000
62,1001
63,1000
64,3237
65,3571
66,251
67,1001
68,335
69,2
70,29
71,100
72,2
73,5
74,9
75,1001
76,1001
77,251
78,91
79,1001
80,335
81,1000
82,1001
83,502
84,59
85,502
86,63
87,2
88,14
89,3245
90,3436
91,3195
92,3286
93,3268
94,1000
95,1001
96,1000
97,3086
98,3387
99,1001
